step,,,type,,,,,amount,,,,,,nameOrig,,oldbalancenewbalancnameDest,,,,,,,,,,,,oldbalancenewbalancisFraud,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,9839.64 C12310068,,,,,,,170136,,,,,,160296.4 M19797871,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,1864.28 C16665442,,,,,,,,21249,,,,,19384.72 M20442822,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 TRANSFER,,,,,,,,,,181 C13054861,,,,,,,,181,,,,,,0 C55326406,,,,,,0,,,,0,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 CASH_OUT,,,,,,,,,,181 C84008367,,,,,,,,181,,,,,,0 C38997010,,,,21182,,,,,,0,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,11668.14 C20485377,,,,,,,,,41554,,,,,29885.86 M12307017,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,7817.71 C90045638,,,,,,,,53860,,,,,46042.29 M57348727,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,7107.77 C15498889,,,,,,,183195,,,,,,176087.2 M40806911,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,7861.64 C19128504176087.2,,,,,,,,,,,,,168225.6 M63332633,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,4024.36 C12650129,,,,,,,,,2671,,,,,,,0 M11769321,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 DEBIT,,,,,,,,5337.77 C71241012,,,,,,,,41720,,,,,36382.23 C19560086,,,,,,,41898,,,,40348.79,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 DEBIT,,,,,,,,9644.94 C19003667,,,,,,,,,4465,,,,,,,0 C99760839,,,,10845,,,,157982.1,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,3099.97 C24917757,,,,,,,,20771,,,,,17671.03 M20965391,,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,,2560.74 C16482325,,,,,,,,,5070,,,,,2509.26 M97286527,,,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 PAYMENT,,,,,,,11633.76 C17169328,,,,,,,,,10127,,,,,,,,0 M80156915,,,,,,0,,,,0,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
